Brand,AnnualDemand,AvgPurchasePrice,HoldingCost,OrderingCost,EOQ,OrdersPerYear,TotalOrderingCost,TotalHoldingCost,TotalInventoryCost
4241,4303,1.47,0.294,150,2095,3,450,307.965,757.9649999999999
8184,4295,1.55,0.31000000000000005,150,2039,3,450,316.0450000000001,766.0450000000001
8159,4264,19.69,3.9380000000000006,150,570,8,1200,1122.3300000000002,2322.33
6479,4223,5.95,1.1900000000000002,150,1032,5,750,614.0400000000001,1364.04
4149,4133,1.16,0.23199999999999998,150,2312,2,300,268.192,568.192
3489,4119,20.73,4.146,150,546,8,1200,1131.858,2331.858
5251,4088,0.72,0.144,150,2918,2,300,210.09599999999998,510.096
8680,4047,28.88,5.776,150,458,9,1350,1322.704,2672.7039999999997
32831,4031,6.75,1.35,150,946,5,750,638.5500000000001,1388.5500000000002
1476,4015,16.05,3.2100000000000004,150,613,7,1050,983.8650000000001,2033.8650000000002
5445,3962,11.76,2.352,150,711,6,900,836.136,1736.136
3500,3925,1.07,0.21400000000000002,150,2346,2,300,251.02200000000002,551.022
5365,3919,14.84,2.968,150,629,7,1050,933.436,1983.4360000000001
8172,3909,0.71,0.142,150,2874,2,300,204.05399999999997,504.054
18152,3891,5.26,1.052,150,1053,4,600,553.878,1153.8780000000002
2586,3845,2.21,0.442,150,1615,3,450,356.915,806.915
36380,3837,6.49,1.298,150,942,5,750,611.3580000000001,1361.3580000000002
8033,3802,2.3,0.45999999999999996,150,1575,3,450,362.25,812.25
32907,3798,5.37,1.074,150,1030,4,600,553.11,1153.1100000000001
41034,3780,5.26,1.052,150,1038,4,600,545.988,1145.988
3637,3701,3.89,0.778,150,1195,4,600,464.855,1064.855
6983,3689,8.27,1.654,150,818,5,750,676.486,1426.4859999999999
5191,3678,7.93,1.586,150,834,5,750,661.3620000000001,1411.362
3899,3636,2.2,0.44000000000000006,150,1575,3,450,346.50000000000006,796.5
8112,3629,19.52,3.904,150,528,7,1050,1030.656,2080.656
508,3625,9.77,1.954,150,746,5,750,728.842,1478.842
8203,3610,1.51,0.30200000000000005,150,1894,2,300,285.994,585.994
32906,3602,6.42,1.284,150,917,4,600,588.714,1188.714
35914,3598,5.51,1.102,150,990,4,600,545.49,1145.49
8746,3538,4.02,0.8039999999999999,150,1149,4,600,461.89799999999997,1061.898
