VendorName,AvgLeadTime,MedianLeadTime,StdLeadTime,OrderCount,Reliability
DISARONNO INTERNATIONAL LLC,7.738672902660041,8.0,2.0923967421555787,6842,Consistent
STATE WINE & SPIRITS   ,7.754164474837805,8.0,2.2500168480531557,11406,Consistent
SIDNEY FRANK IMPORTING CO  ,7.781235801908224,8.0,2.205985170630228,8804,Consistent
MARTIGNETTI COMPANIES,7.787944721140934,8.0,2.1716260074588334,176487,Consistent
SOUTHERN GLAZERS W&S OF NE ,7.791666666666667,8.0,2.1016905021532506,192,Consistent
"HOOD RIVER DISTILLERS, Inc.",7.807228915662651,7.0,2.476513241879087,83,Moderate
CALEDONIA SPIRITS INC      ,7.809885931558935,8.0,2.2999026322600087,1315,Consistent
WESTERN SPIRITS BEVERAGE CO,7.825528498795825,8.0,2.344536942474835,3737,Consistent
BRONCO WINE COMPANY        ,7.836734693877551,8.0,1.818274580193979,49,Consistent
SHAW ROSS INT L IMP LTD    ,7.8396901072705605,8.0,2.081466994912338,8390,Consistent
CENTEUR IMPORTS LLC        ,7.841121495327103,8.0,2.124206989480129,107,Consistent
LABELLE VYDS AND WINERY    ,7.843155893536122,8.0,2.338019997658582,1052,Consistent
TY KU LLC                  ,7.852589641434263,8.0,2.255256807313143,251,Consistent
"STOLI GROUP,(USA) LLC      ",7.865736306836321,8.0,2.1389599081359316,21927,Consistent
JEWELL TOWNE VINEYARDS     ,7.8951890034364265,8.0,2.302661234180342,582,Consistent
R.P.IMPORTS INC            ,7.904109589041096,9.0,2.6413610946381194,73,Moderate
M S WALKER INC             ,7.905498616923186,8.0,2.076089180676074,112792,Consistent
MANGO BOTTLING INC         ,7.90566037735849,8.0,2.3159104649116613,2120,Consistent
WILLIAM GRANT & SONS INC   ,7.917531193046404,8.0,2.163669928153999,28532,Consistent
ZORVINO VINEYARDS          ,7.918735891647856,8.0,2.218603669435434,886,Consistent
PREMIER DISTRIBUTORS       ,7.927857935627081,8.0,2.2920904494989225,901,Consistent
SURVILLE ENTERPRISES CORP  ,7.934131736526946,8.0,2.1735433166459117,668,Consistent
DJINN SPIRITS LLC          ,7.9375,8.0,2.0889684625834257,224,Consistent
BLACK PRINCE DISTILLERY INC,7.9411764705882355,8.0,1.946158504237825,68,Consistent
SWEET BABY VINEYARD        ,7.951902368987796,8.0,2.054882302667882,1393,Consistent
TALL SHIP DISTILLERY LLC   ,7.955390334572491,8.0,2.2835105567397873,269,Consistent
MILTONS DISTRIBUTING CO    ,7.956521739130435,8.0,1.460954260673022,23,Consistent
HAUNTING WHISPER VYDS      ,7.9655172413793105,8.0,2.0430929188698483,58,Consistent
PSP WINES ,7.98306389530408,8.0,2.1061264010813354,1299,Consistent
GILMANTON WINERY & VINEYARD,8.0,8.0,1.154700538379251,43,Consistent
PARK STREET IMPORTS LLC    ,8.01126126126126,8.0,1.9374785769986926,444,Consistent
FLAG HILL WINERY & VINEYARD,8.015021459227468,8.0,2.3647050679913155,1864,Consistent
Dunn Wine Brokers          ,8.015974440894569,8.0,2.1083777697218924,313,Consistent
OLE SMOKY DISTILLERY LLC   ,8.04189270644967,8.0,2.044218515202507,3318,Consistent
BLACK ROCK SPIRITS LLC     ,8.052631578947368,8.0,2.013114894621608,19,Consistent
KLIN SPIRITS LLC           ,8.068913857677902,8.0,2.123202992731987,1335,Consistent
VINEYARD BRANDS LLC        ,8.08695652173913,6.0,2.447875581327629,23,Moderate
ATLANTIC IMPORTING COMPANY ,8.101503759398497,8.0,2.050549303761221,266,Consistent
FREDERICK WILDMAN & SONS   ,8.121324771882392,8.0,2.169545412423361,5918,Consistent
Russian Standard Vodka     ,8.139183055975794,8.0,2.2800834510413135,661,Consistent
STAR INDUSTRIES INC.       ,8.235294117647058,9.0,2.1945788822888623,17,Consistent
THE PIERPONT GROUP LLC     ,8.241935483870968,8.0,2.2881410872395294,62,Consistent
AMERICAN SPIRITS EXCHANGE  ,8.25,8.5,1.752549163769328,8,Consistent
TAMWORTH DISTILLING        ,8.30718954248366,8.0,1.9509816886284728,153,Consistent
UNCORKED       ,8.3125,8.0,2.1823152842795195,16,Consistent
FULCHINO VINEYARD INC      ,8.378378378378379,9.0,2.137100216255808,74,Consistent
ULTRA BEVERAGE COMPANY LLP ,8.410476711807126,8.0,2.033623732176355,84034,Consistent
STARK BREWING COMPANY      ,8.487804878048781,9.0,2.134501712572658,41,Consistent
WALPOLE MTN VIEW WINERY    ,8.527027027027026,8.0,2.394188013885894,74,Consistent
VINEDREA WINES LLC         ,8.818181818181818,9.0,2.007089706741851,33,Consistent
BLACK COVE BEVERAGES       ,9.318181818181818,10.0,2.16497196149981,44,Consistent
"IRA GOLDMAN AND WILLIAMS, LLP          ",9.615384615384615,10.0,1.043907845426784,13,Consistent
