Brand,EndingStock,AvgPrice,InventoryValue,TotalSold,StockToSales,MovementClass
2156,289,34.99,10112.11,40.0,7.225,Slow Moving
2157,389,12.99,5053.11,0.0,inf,Dead Stock
2158,387,19.99,7736.129999999999,148.0,2.614864864864865,Slow Moving
2159,358,39.99,14316.42,61.0,5.868852459016393,Slow Moving
2160,223,64.99,14492.769999999999,0.0,inf,Dead Stock
2161,1105,19.99,22088.949999999997,222.0,4.9774774774774775,Slow Moving
2162,250,32.99,8247.5,25.0,10.0,Slow Moving
2164,3599,16.99,61147.009999999995,1718.0,2.0948777648428405,Slow Moving
2166,283,54.99,15562.17,0.0,inf,Dead Stock
2167,938,34.99,32820.62,0.0,inf,Dead Stock
2169,5446,1.99,10837.539999999999,0.0,inf,Dead Stock
2170,4026,3.49,14050.740000000002,702.0,5.735042735042735,Slow Moving
2171,282,21.99,6201.179999999999,91.0,3.098901098901099,Slow Moving
2173,355,17.99,6386.45,0.0,inf,Dead Stock
2174,417,34.99,14590.83,0.0,inf,Dead Stock
2175,277,39.99,11077.230000000001,0.0,inf,Dead Stock
2177,716,0.9900000000000001,708.84,0.0,inf,Dead Stock
2178,216,36.99,7989.84,0.0,inf,Dead Stock
2180,120,39.99,4798.8,0.0,inf,Dead Stock
2181,0,0.99,0.0,29.0,0.0,Fast Moving
2182,459,19.99,9175.41,81.0,5.666666666666667,Slow Moving
2183,699,19.99,13973.009999999998,311.0,2.247588424437299,Slow Moving
2184,149,14.99,2233.51,28.0,5.321428571428571,Slow Moving
2186,175,31.989999999999995,5598.249999999999,15.0,11.666666666666666,Slow Moving
2189,131,24.99,3273.6899999999996,62.0,2.1129032258064515,Slow Moving
2191,13,19.99,259.87,0.0,inf,Dead Stock
2192,370,49.99,18496.3,0.0,inf,Dead Stock
2194,319,22.99,7333.8099999999995,0.0,inf,Dead Stock
2195,2,16.99,33.98,0.0,inf,Dead Stock
2196,947,11.99,11354.53,0.0,inf,Dead Stock
2198,383,34.99,13401.17,0.0,inf,Dead Stock
2199,490,29.99,14695.099999999999,76.0,6.447368421052632,Slow Moving
2200,138,14.99,2068.62,40.0,3.45,Slow Moving
2201,141,76.99,10855.59,0.0,inf,Dead Stock
2202,630,29.99,18893.7,105.0,6.0,Slow Moving
2204,79,429.99000000000007,33969.21000000001,0.0,inf,Dead Stock
2207,228,59.989999999999995,13677.72,36.0,6.333333333333333,Slow Moving
2208,322,69.99,22536.78,147.0,2.1904761904761907,Slow Moving
2209,230,17.99,4137.7,49.0,4.6938775510204085,Slow Moving
2211,4,25.49,101.96,0.0,inf,Dead Stock
