VendorName,Total_Quantity,Total_Spent,Num_Orders,Avg_LeadTime,Std_LeadTime,Min_LeadTime,Max_LeadTime,Avg_Cost_Per_Unit,LeadTime_CV,DeliveryScore
OLE SMOKY DISTILLERY LLC   ,110162,387622.69,3318,8.04189270644967,2.044218515202507,3.0,13.0,3.5186606089214068,0.25419619358550083,38.1
WESTERN SPIRITS BEVERAGE CO,56860,361249.21,3737,7.825528498795825,2.344536942474835,3.0,14.0,6.353310059795991,0.2996010995085644,33.3
FABRIZIA SPIRITS LLC       ,28071,358390.62,3083,7.666558546869932,2.1102959944887028,3.0,14.0,12.767290798332798,0.2752598811562308,36.9
CHARLES JACQUIN ET CIE INC ,43947,329637.62,4637,7.401121414707785,2.382615811178197,3.0,14.0,7.500799144423965,0.32192632408966754,32.3
LATITUDE BEVERAGE COMPANY  ,53090,316446.76,3754,7.604954714970698,2.081803456967138,3.0,13.0,5.960571859107176,0.27374304450084547,37.3
MCCORMICK DISTILLING CO    ,29788,310552.87,2576,7.666149068322981,2.22281970834979,3.0,14.0,10.425435410232309,0.28995258095549215,35.1
FLAG HILL WINERY & VINEYARD,20608,300403.2,1864,8.015021459227468,2.3647050679913155,3.0,14.0,14.577018633540373,0.2950341530612994,33.2
CRUSH WINES                ,26349,287189.9,2056,7.669260700389105,2.3181393323350967,3.0,14.0,10.899461080116893,0.302263728264901,33.6
CALEDONIA SPIRITS INC      ,8202,259604.7,1315,7.809885931558935,2.2999026322600087,3.0,14.0,31.651389904901244,0.2944860721929807,34.0
VRANKEN AMERICA            ,13094,208330.15,881,7.610669693530079,2.2031639709334168,3.0,13.0,15.910352069650221,0.2894835881271201,35.4
MANGO BOTTLING INC         ,28414,204510.38,2120,7.90566037735849,2.3159104649116613,3.0,13.0,7.197521644259872,0.29294332849717913,33.8
LAIRD & CO                 ,21422,203011.58,1473,7.564833672776646,2.0984690304859983,3.0,13.0,9.47677994585006,0.2773979073773558,37.1
SEA HAGG DISTILLERY LLC    ,15412,188044.46,1183,7.022823330515638,2.0382102418327905,3.0,13.0,12.201171814170776,0.29022661483969564,37.6
MARSALLE COMPANY           ,7158,185311.19,937,7.7086446104589115,2.218670768094224,3.0,13.0,25.888682592903045,0.2878159365505037,35.2
DUGGANS DISTILLED PRODUCTS ,18814,184296.5,1247,7.539695268644747,2.210761851681267,3.0,13.0,9.795710641012013,0.29321634003898533,35.2
Serralles Usa LLC          ,10463,168993.61,1509,7.117296222664016,2.12915821409671,3.0,14.0,16.151544490107998,0.2991526764499009,36.1
AMERICAN VINTAGE BEVERAGE  ,15778,156357.28,2192,7.385036496350365,2.0616944103483132,3.0,13.0,9.909828875649639,0.27917186480624556,37.5
LABELLE VYDS AND WINERY    ,12855,146839.55,1052,7.843155893536122,2.338019997658582,3.0,13.0,11.422757681835861,0.2980968412964281,33.5
SWEET BABY VINEYARD        ,16805,140577.9,1393,7.951902368987796,2.054882302667882,3.0,13.0,8.365242487354953,0.25841392503533084,37.9
Russian Standard Vodka     ,12798,138907.27,661,8.139183055975794,2.2800834510413135,3.0,13.0,10.853826379121736,0.2801366470517302,34.5
